"local_site","DateTime","mmt_num","SM"
"MRS1",2018-05-10 11:00:00,3,0.054
"MRS1",2018-05-10 11:00:00,4,0.1688
"MRS1",2018-05-10 11:00:00,5,0.2552
"MRS1",2018-05-10 12:00:00,1,0.102
"MRS1",2018-05-10 12:00:00,2,0.1753
"MRS1",2018-05-10 12:00:00,3,0.054
"MRS1",2018-05-10 12:00:00,4,0.1681
"MRS1",2018-05-10 12:00:00,5,0.2589
"MRS1",2018-05-10 13:00:00,1,0.1012
"MRS1",2018-05-10 13:00:00,2,0.1768
"MRS1",2018-05-10 13:00:00,3,0.0548
"MRS1",2018-05-10 13:00:00,4,0.1681
"MRS1",2018-05-10 13:00:00,5,0.2618
"MRS1",2018-05-10 14:00:00,1,0.1012
"MRS1",2018-05-10 14:00:00,2,0.1739
"MRS1",2018-05-10 14:00:00,3,0.054
"MRS1",2018-05-10 14:00:00,4,0.1702
"MRS1",2018-05-10 14:00:00,5,0.2639
"MRS1",2018-05-10 15:00:00,1,0.1005
"MRS1",2018-05-10 15:00:00,2,0.171
"MRS1",2018-05-10 15:00:00,3,0.054
"MRS1",2018-05-10 15:00:00,4,0.1688
"MRS1",2018-05-10 15:00:00,5,0.2618
"MRS1",2018-05-10 16:00:00,1,0.0998
"MRS1",2018-05-10 16:00:00,2,0.1702
"MRS1",2018-05-10 16:00:00,3,0.054
"MRS1",2018-05-10 16:00:00,4,0.1666
"MRS1",2018-05-10 16:00:00,5,0.2618
"MRS1",2018-05-10 17:00:00,1,0.0998
"MRS1",2018-05-10 17:00:00,2,0.1688
"MRS1",2018-05-10 17:00:00,3,0.0533
"MRS1",2018-05-10 17:00:00,4,0.1666
"MRS1",2018-05-10 17:00:00,5,0.2596
"MRS1",2018-05-10 18:00:00,1,0.0991
"MRS1",2018-05-10 18:00:00,2,0.1681
"MRS1",2018-05-10 18:00:00,3,0.054
"MRS1",2018-05-10 18:00:00,4,0.1659
"MRS1",2018-05-10 18:00:00,5,0.2581
"MRS1",2018-05-10 19:00:00,1,0.0991
"MRS1",2018-05-10 19:00:00,2,0.1666
"MRS1",2018-05-10 19:00:00,3,0.0555
"MRS1",2018-05-10 19:00:00,4,0.163
"MRS1",2018-05-10 19:00:00,5,0.2567
"MRS1",2018-05-10 20:00:00,1,0.0976
"MRS1",2018-05-10 20:00:00,2,0.1666
"MRS1",2018-05-10 20:00:00,3,0.054
"MRS1",2018-05-10 20:00:00,4,0.1623
"MRS1",2018-05-10 20:00:00,5,0.2552
"MRS1",2018-05-10 21:00:00,1,0.0976
"MRS1",2018-05-10 21:00:00,2,0.1659
"MRS1",2018-05-10 21:00:00,3,0.0548
"MRS1",2018-05-10 21:00:00,4,0.1608
"MRS1",2018-05-10 21:00:00,5,0.2538
"MRS1",2018-05-10 22:00:00,1,0.0976
"MRS1",2018-05-10 22:00:00,2,0.1652
"MRS1",2018-05-10 22:00:00,3,0.054
"MRS1",2018-05-10 22:00:00,4,0.1601
"MRS1",2018-05-10 22:00:00,5,0.253
"MRS1",2018-05-10 23:00:00,1,0.0991
"MRS1",2018-05-10 23:00:00,2,0.1652
"MRS1",2018-05-10 23:00:00,3,0.0555
"MRS1",2018-05-10 23:00:00,4,0.1601
"MRS1",2018-05-10 23:00:00,5,0.253
"MRS1",2018-05-11 00:00:00,1,0.0991
"MRS1",2018-05-11 00:00:00,2,0.1644
"MRS1",2018-05-11 00:00:00,3,0.054
"MRS1",2018-05-11 00:00:00,4,0.1601
"MRS1",2018-05-11 00:00:00,5,0.2509
"MRS1",2018-05-11 01:00:00,1,0.0976
"MRS1",2018-05-11 01:00:00,2,0.1637
"MRS1",2018-05-11 01:00:00,3,0.0548
"MRS1",2018-05-11 01:00:00,4,0.1586
"MRS1",2018-05-11 01:00:00,5,0.2501
"MRS1",2018-05-11 02:00:00,1,0.0983
"MRS1",2018-05-11 02:00:00,2,0.1637
"MRS1",2018-05-11 02:00:00,3,0.054
"MRS1",2018-05-11 02:00:00,4,0.1586
"MRS1",2018-05-11 02:00:00,5,0.2501
"MRS1",2018-05-11 03:00:00,1,0.0983
"MRS1",2018-05-11 03:00:00,2,0.1637
"MRS1",2018-05-11 03:00:00,3,0.054
"MRS1",2018-05-11 03:00:00,4,0.1564
"MRS1",2018-05-11 03:00:00,5,0.2487
"MRS1",2018-05-11 04:00:00,1,0.0976
"MRS1",2018-05-11 04:00:00,2,0.1637
"MRS1",2018-05-11 04:00:00,3,0.0548
"MRS1",2018-05-11 04:00:00,4,0.1572
"MRS1",2018-05-11 04:00:00,5,0.248
"MRS1",2018-05-11 05:00:00,1,0.0983
"MRS1",2018-05-11 05:00:00,2,0.163
"MRS1",2018-05-11 05:00:00,3,0.0548
"MRS1",2018-05-11 05:00:00,4,0.1572
"MRS1",2018-05-11 05:00:00,5,0.2487
"MRS1",2018-05-11 06:00:00,1,0.0983
"MRS1",2018-05-11 06:00:00,2,0.163
"MRS1",2018-05-11 06:00:00,3,0.0548
"MRS1",2018-05-11 06:00:00,4,0.155
"MRS1",2018-05-11 06:00:00,5,0.2465
"MRS1",2018-05-11 07:00:00,1,0.0983
"MRS1",2018-05-11 07:00:00,2,0.163
"MRS1",2018-05-11 07:00:00,3,0.0548
"MRS1",2018-05-11 07:00:00,4,0.155
"MRS1",2018-05-11 07:00:00,5,0.2458
"MRS1",2018-05-11 08:00:00,1,0.0976
"MRS1",2018-05-11 08:00:00,2,0.163
"MRS1",2018-05-11 08:00:00,3,0.0548
"MRS1",2018-05-11 08:00:00,4,0.155
"MRS1",2018-05-11 08:00:00,5,0.2458
"MRS1",2018-05-11 09:00:00,1,0.0976
"MRS1",2018-05-11 09:00:00,2,0.1637
"MRS1",2018-05-11 09:00:00,3,0.0555
"MRS1",2018-05-11 09:00:00,4,0.1557
"MRS1",2018-05-11 09:00:00,5,0.2451
"MRS1",2018-05-11 10:00:00,1,0.0976
"MRS1",2018-05-11 10:00:00,2,0.1644
"MRS1",2018-05-11 10:00:00,3,0.0555
"MRS1",2018-05-11 10:00:00,4,0.1557
"MRS1",2018-05-11 10:00:00,5,0.2472
"MRS1",2018-05-11 11:00:00,1,0.0991
"MRS1",2018-05-11 11:00:00,2,0.1644
"MRS1",2018-05-11 11:00:00,3,0.0548
"MRS1",2018-05-11 11:00:00,4,0.1572
"MRS1",2018-05-11 11:00:00,5,0.248
"MRS1",2018-05-11 12:00:00,1,0.0976
"MRS1",2018-05-11 12:00:00,2,0.1652
"MRS1",2018-05-11 12:00:00,3,0.0555
"MRS1",2018-05-11 12:00:00,4,0.1557
"MRS1",2018-05-11 12:00:00,5,0.2458
"MRS1",2018-05-11 13:00:00,1,0.0976
"MRS1",2018-05-11 13:00:00,2,0.1644
"MRS1",2018-05-11 13:00:00,3,0.0555
"MRS1",2018-05-11 13:00:00,4,0.155
"MRS1",2018-05-11 13:00:00,5,0.2451
"MRS1",2018-05-11 14:00:00,1,0.0969
"MRS1",2018-05-11 14:00:00,2,0.1637
"MRS1",2018-05-11 14:00:00,3,0.0562
"MRS1",2018-05-11 14:00:00,4,0.1543
"MRS1",2018-05-11 14:00:00,5,0.2443
